Region,CBSASub24,HUD,Realpage,Zillow,Avg of Rents
"Santa Cruz-Watsonville, CA",42100,3388.65,3452.15,3016.74,3286
"San Jose-Sunnyvale-Santa Clara, CA",41940,3099.39,2899.41,3071.1,3023
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,1808,2884.5,2427.22,2373
"San Diego-Carlsbad, CA",41740,2499.43,2821.4,2736.57,2686
"Oxnard-Thousand Oaks-Ventura, CA",37100,2289.04,2615.92,2708.02,2538
"Providence-Fall River, RI-MA",39300,1494.79,2492.5,1959.4,1982
"Santa Maria-Santa Barbara, CA",42200,2598.81,2492.15,2858.26,2650
"Santa Rosa, CA",42220,1803.8,2467.88,2403.8,2225
"Chicago-Joliet-Naperville, IL",16980,1745.78,2462.07,2001.53,2070
"Washington-Arlington-Alexandria, DC-VA-MD",47900,2194.89,2454.56,2265.5,2305
"Ithaca, NY",27060,1519.33,2382.75,2035.04,1979
"Utica-Rome, NY",46540,963.42,2377,1282.85,1541
"Burlington-South Burlington, VT",15540,1501.65,2374,1934.22,1937
"Binghamton, NY",13780,999.18,2361,1099.56,1487
"Salinas, CA",41500,2637.18,2288,2330.56,2419
"Boulder, CO",14500,1765.29,2239.82,2099.85,2035
"Naples-Immokalee-Marco Island, FL",34940,1696.37,2183.8,2446.48,2109
"Worcester, MA",49340,1560,2169.94,2028.76,1920
"Riverside-San Bernardino-Ontario, CA",40140,1976.63,2169.49,2290.14,2145
"Charlottesville, VA",16820,1517.12,1939.76,1741.65,1733
"East Stroudsburg, PA",20700,1255.87,1934.5,1599.36,1597
"Charleston-North Charleston, SC",16700,1758.68,1928.97,1831.74,1840
"Flagstaff, AZ",22380,1753.24,1916.1,1911.58,1860
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,1662.61,1903.86,1808.23,1792
"Sacramento--Roseville--Arden-Arcade, CA",40900,1907.95,1884.46,1996.04,1929
"Hartford-West Hartford-East Hartford, CT",25540,1386.68,1882.89,1775.64,1682
"Denver-Aurora-Lakewood, CO",19740,1886.25,1851.64,1789.95,1843
"Tampa-St. Petersburg-Clearwater, FL",45300,1810.25,1851.11,1866.88,1843
"Santa Fe, NM",42140,1406.55,1849.36,1888.26,1715
"Bellingham, WA",13380,1399.86,1835.41,1690.23,1642
"Visalia-Porterville, CA",47300,1145.22,1828.83,1315.27,1430
"Bend-Redmond, OR",13460,1342.73,1826.96,1804.8,1658
"Ann Arbor, MI",11460,1398.79,1814.2,1878.16,1697
"Blacksburg-Christiansburg-Radford, VA",13980,999.89,1812.78,1216.63,1343
"Bremerton-Silverdale, WA",14740,1693.04,1783.08,1831.04,1769
"Scranton--Wilkes-Barre, PA",42540,967.25,1774.33,1175.77,1306
"Winchester, VA-WV",49020,1282.29,1773.86,1599.37,1552
"Albany-Schenectady-Troy, NY",10580,1276.18,1754.92,1520.85,1517
"Kingston, NY",28740,1430.77,1753,1765.12,1650
"Orlando-Kissimmee-Sanford, FL",36740,1821.41,1750.2,1824.4,1799
"Salisbury, MD",41540,1176.22,1741.07,1630.77,1516
"Olympia-Tumwater, WA",36500,1615.71,1734.43,1790.82,1714
"Cape Coral-Fort Myers, FL",15980,1601.12,1721.31,1751.39,1691
"Eugene-Springfield, OR",21660,1186.19,1706.23,1705.58,1533
"Atlanta-Sandy Springs-Roswell, GA",12060,1754.97,1702.96,1674.46,1711
"Asheville, NC",11700,1409.63,1701.7,1549.04,1553
"Wenatchee, WA",48300,1201.36,1701.6,1755.59,1553
"Pittsburgh, PA",38300,1113.01,1692.35,1353.28,1386
"Fort Collins, CO",22660,1516.97,1687.3,1679.44,1628
"Modesto, CA",33700,1341.45,1685.02,1698.96,1575
"Allentown-Bethlehem-Easton, PA",10900,1280.93,1684.34,1626.22,1530
"Carson City, NV",16180,1209.64,1683.3,1611.33,1501
"Madison, WI",31540,1321.31,1669.33,1586.48,1526
"Lancaster, PA",29540,1157.68,1667.95,1225.17,1350
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,1753.73,1665.4,1670.45,1697
"Corvallis, OR",18700,1285.64,1665.33,1610.29,1520
"Fairbanks, AK",21820,1359.47,1663.5,1722.57,1582
"Eau Claire, WI",20740,895.54,1662.18,1028.55,1195
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,1571.18,1654.33,1550.17,1592
"Savannah, GA",42340,1505.47,1641.75,1652.58,1600
"Portland-Vancouver-Hillsboro, OR-WA",38900,1807.8,1640.16,1696.79,1715
"Atlantic City-Hammonton, NJ",12100,1540.78,1637,1794.54,1657
"Duluth, MN-WI",20260,933.47,1636.86,1222.35,1264
"Missoula, MT",33540,1146.79,1628.71,1254.55,1343
"Reading, PA",39740,1164.71,1627.8,1195.82,1329
"Detroit-Warren-Livonia, MI",19820,1185.28,1614.85,1381.2,1394
"Baltimore-Columbia-Towson, MD",12580,1811.27,1613.6,1727.52,1717
"Merced, CA",32900,1253.81,1607.57,1347.99,1403
"Reno, NV",39900,1491.19,1602.49,1684.75,1593
"Stockton-Lodi, CA",44700,1493.91,1600.07,1924.41,1673
"Fresno, CA",23420,1282.02,1591.86,1560.71,1478
"Charlotte-Concord-Gastonia, NC-SC",16740,1747.63,1591.81,1572.67,1637
"New Orleans-Metairie, LA",35380,1288.92,1587.27,1482.75,1453
"Harrisonburg, VA",25500,1144.92,1584.67,1375.85,1368
"Rochester, MN",40340,1121.5,1578.95,1438.27,1380
"Norwich-New London, CT",35980,1405.11,1571.14,1621.9,1533
"Deltona-Daytona Beach-Ormond Beach, FL",19660,1464.17,1566,1602.24,1544
"La Crosse-Onalaska, WI-MN",29100,929.84,1565.67,962.64,1153
"Janesville-Beloit, WI",27500,936.86,1563.5,933.8,1145
"Dover, DE",20100,1228.24,1563.43,1612.49,1468
"Walla Walla, WA",47460,1140.89,1553.75,1362.53,1352
"Medford, OR",32780,1185.94,1552,1458.07,1399
"Richmond, VA",40060,1622.25,1543.66,1548.32,1571
"Great Falls, MT",24500,895,1539,1124.6,1186
"St. George, UT",41100,1204.67,1537.2,1573.88,1439
"Anchorage, AK",11260,1302.2,1532.12,1482.61,1439
"Myrtle Beach-North Myrtle Beach-Conway, SC",34820,1233.9,1528.39,1663.74,1475
"Cleveland, TN",17420,943.3,1527.12,1441.9,1304
"Palm Bay-Melbourne-Titusville, FL",37340,1494.64,1524.88,1686.61,1569
"Trenton, NJ",45940,1786.94,1523,2385.08,1898
"Chico, CA",17020,1145.74,1513.14,1453.41,1371
"Austin-Round Rock, TX",12420,1744.59,1513.11,1511.8,1590
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,1054.94,1505.82,1272.79,1278
"Rochester, NY",40380,1186.98,1504.91,1414.24,1369
"Cincinnati, OH-KY-IN ",17140,1054.36,1504.08,1390.25,1316
"Bakersfield, CA",12540,1211.38,1500.48,1405.25,1372
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,1472.73,1500.4,1550.47,1508
"Knoxville, TN",28940,1315.89,1500.33,1577.79,1465
"Ocala, FL",36100,1159.42,1497.22,1412.56,1356
"Erie, PA",21500,896.21,1496.2,831.32,1075
